  # Source : patch outlet
# Faces  : 160
# Time	sum(magSf)	weightedAverage(T)
1.901406e+02	8.718506e+00	3.477764e+02
1.904531e+02	8.718506e+00	3.477507e+02
1.907656e+02	8.718506e+00	3.477251e+02
1.910781e+02	8.718506e+00	3.476994e+02
1.913906e+02	8.718506e+00	3.476737e+02
1.917031e+02	8.718506e+00	3.476481e+02
1.920156e+02	8.718506e+00	3.476224e+02
1.923281e+02	8.718506e+00	3.475968e+02
1.926406e+02	8.718506e+00	3.475712e+02
1.929531e+02	8.718506e+00	3.475456e+02
1.932656e+02	8.718506e+00	3.475201e+02
1.935781e+02	8.718506e+00	3.474945e+02
1.938906e+02	8.718506e+00	3.474690e+02
1.942031e+02	8.718506e+00	3.474434e+02
1.945156e+02	8.718506e+00	3.474179e+02
1.948281e+02	8.718506e+00	3.473924e+02
1.951406e+02	8.718506e+00	3.473669e+02
1.954531e+02	8.718506e+00	3.473414e+02
1.957656e+02	8.718506e+00	3.473160e+02
1.960781e+02	8.718506e+00	3.472905e+02
1.963906e+02	8.718506e+00	3.472651e+02
1.967031e+02	8.718506e+00	3.472397e+02
1.970156e+02	8.718506e+00	3.472143e+02
1.973281e+02	8.718506e+00	3.471889e+02
1.976406e+02	8.718506e+00	3.471635e+02
1.979531e+02	8.718506e+00	3.471382e+02
1.982656e+02	8.718506e+00	3.471128e+02
1.985781e+02	8.718506e+00	3.470875e+02
1.988906e+02	8.718506e+00	3.470622e+02
1.992031e+02	8.718506e+00	3.470368e+02
1.995156e+02	8.718506e+00	3.470116e+02
1.998281e+02	8.718506e+00	3.469863e+02
2.001406e+02	8.718506e+00	3.469610e+02
2.004531e+02	8.718506e+00	3.469358e+02
2.007656e+02	8.718506e+00	3.469105e+02
2.010781e+02	8.718506e+00	3.468853e+02
2.013906e+02	8.718506e+00	3.468601e+02
2.017031e+02	8.718506e+00	3.468349e+02
2.020156e+02	8.718506e+00	3.468097e+02
2.023281e+02	8.718506e+00	3.467845e+02
2.026406e+02	8.718506e+00	3.467594e+02
2.029531e+02	8.718506e+00	3.467343e+02
2.032656e+02	8.718506e+00	3.467091e+02
2.035781e+02	8.718506e+00	3.466840e+02
2.038906e+02	8.718506e+00	3.466589e+02
2.042031e+02	8.718506e+00	3.466338e+02
2.045156e+02	8.718506e+00	3.466088e+02
2.048281e+02	8.718506e+00	3.465837e+02
2.051406e+02	8.718506e+00	3.465586e+02
2.054531e+02	8.718506e+00	3.465336e+02
2.057656e+02	8.718506e+00	3.465086e+02
2.060781e+02	8.718506e+00	3.464836e+02
2.063906e+02	8.718506e+00	3.464586e+02
2.067031e+02	8.718506e+00	3.464336e+02
2.070156e+02	8.718506e+00	3.464087e+02
2.073281e+02	8.718506e+00	3.463837e+02
2.076406e+02	8.718506e+00	3.463588e+02
2.079531e+02	8.718506e+00	3.463339e+02
2.082656e+02	8.718506e+00	3.463089e+02
2.085781e+02	8.718506e+00	3.462841e+02
2.088906e+02	8.718506e+00	3.462592e+02
2.092031e+02	8.718506e+00	3.462343e+02
2.095156e+02	8.718506e+00	3.462094e+02
2.098281e+02	8.718506e+00	3.461846e+02
2.101406e+02	8.718506e+00	3.461598e+02
