  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volIntegrate(T)
1.663549e+03	5.221114e-01	1.662447e+02
1.664067e+03	5.221114e-01	1.662361e+02
1.664585e+03	5.221114e-01	1.662276e+02
1.665104e+03	5.221114e-01	1.662192e+02
1.665622e+03	5.221114e-01	1.662107e+02
1.666140e+03	5.221114e-01	1.662022e+02
1.666658e+03	5.221114e-01	1.661937e+02
1.667176e+03	5.221114e-01	1.661853e+02
1.667694e+03	5.221114e-01	1.661768e+02
1.668212e+03	5.221114e-01	1.661684e+02
1.668731e+03	5.221114e-01	1.661599e+02
1.669249e+03	5.221114e-01	1.661515e+02
1.669767e+03	5.221114e-01	1.661431e+02
1.670285e+03	5.221114e-01	1.661347e+02
1.670803e+03	5.221114e-01	1.661263e+02
1.671321e+03	5.221114e-01	1.661179e+02
1.671839e+03	5.221114e-01	1.661095e+02
1.672358e+03	5.221114e-01	1.661011e+02
1.672876e+03	5.221114e-01	1.660927e+02
1.673394e+03	5.221114e-01	1.660843e+02
1.673912e+03	5.221114e-01	1.660760e+02
1.674430e+03	5.221114e-01	1.660676e+02
1.674948e+03	5.221114e-01	1.660593e+02
1.675466e+03	5.221114e-01	1.660509e+02
1.675984e+03	5.221114e-01	1.660426e+02
1.676503e+03	5.221114e-01	1.660343e+02
1.677021e+03	5.221114e-01	1.660260e+02
1.677539e+03	5.221114e-01	1.660177e+02
1.678057e+03	5.221114e-01	1.660093e+02
1.678575e+03	5.221114e-01	1.660011e+02
1.679093e+03	5.221114e-01	1.659928e+02
1.679611e+03	5.221114e-01	1.659845e+02
1.680130e+03	5.221114e-01	1.659762e+02
1.680648e+03	5.221114e-01	1.659679e+02
1.681166e+03	5.221114e-01	1.659597e+02
1.681684e+03	5.221114e-01	1.659514e+02
1.682202e+03	5.221114e-01	1.659432e+02
1.682720e+03	5.221114e-01	1.659350e+02
1.683238e+03	5.221114e-01	1.659267e+02
1.683756e+03	5.221114e-01	1.659185e+02
1.684275e+03	5.221114e-01	1.659103e+02
1.684793e+03	5.221114e-01	1.659021e+02
1.685311e+03	5.221114e-01	1.658939e+02
1.685829e+03	5.221114e-01	1.658857e+02
1.686347e+03	5.221114e-01	1.658775e+02
1.686865e+03	5.221114e-01	1.658693e+02
1.687383e+03	5.221114e-01	1.658612e+02
1.687902e+03	5.221114e-01	1.658530e+02
1.688420e+03	5.221114e-01	1.658448e+02
1.688938e+03	5.221114e-01	1.658367e+02
1.689456e+03	5.221114e-01	1.658286e+02
1.689974e+03	5.221114e-01	1.658204e+02
1.690492e+03	5.221114e-01	1.658123e+02
1.691010e+03	5.221114e-01	1.658042e+02
1.691528e+03	5.221114e-01	1.657961e+02
1.692047e+03	5.221114e-01	1.657880e+02
1.692565e+03	5.221114e-01	1.657799e+02
1.693083e+03	5.221114e-01	1.657718e+02
1.693601e+03	5.221114e-01	1.657637e+02
1.694119e+03	5.221114e-01	1.657556e+02
1.694637e+03	5.221114e-01	1.657475e+02
1.695155e+03	5.221114e-01	1.657395e+02
1.695674e+03	5.221114e-01	1.657314e+02
1.696192e+03	5.221114e-01	1.657234e+02
1.696710e+03	5.221114e-01	1.657153e+02
1.697228e+03	5.221114e-01	1.657073e+02
1.697746e+03	5.221114e-01	1.656993e+02
1.698264e+03	5.221114e-01	1.656913e+02
1.698782e+03	5.221114e-01	1.656832e+02
1.699301e+03	5.221114e-01	1.656752e+02
1.699819e+03	5.221114e-01	1.656672e+02
1.700337e+03	5.221114e-01	1.656593e+02
1.700855e+03	5.221114e-01	1.656513e+02
1.701373e+03	5.221114e-01	1.656433e+02
1.701891e+03	5.221114e-01	1.656353e+02
1.702409e+03	5.221114e-01	1.656274e+02
1.702927e+03	5.221114e-01	1.656194e+02
1.703446e+03	5.221114e-01	1.656115e+02
1.703964e+03	5.221114e-01	1.656035e+02
1.704482e+03	5.221114e-01	1.655956e+02
1.705000e+03	5.221114e-01	1.655877e+02
1.705518e+03	5.221114e-01	1.655797e+02
1.706036e+03	5.221114e-01	1.655718e+02
1.706554e+03	5.221114e-01	1.655639e+02
1.707073e+03	5.221114e-01	1.655560e+02
1.707591e+03	5.221114e-01	1.655481e+02
1.708109e+03	5.221114e-01	1.655403e+02
1.708627e+03	5.221114e-01	1.655324e+02
1.709145e+03	5.221114e-01	1.655245e+02
1.709663e+03	5.221114e-01	1.655167e+02
1.710181e+03	5.221114e-01	1.655088e+02
1.710699e+03	5.221114e-01	1.655009e+02
1.711218e+03	5.221114e-01	1.654931e+02
1.711736e+03	5.221114e-01	1.654853e+02
1.712254e+03	5.221114e-01	1.654774e+02
1.712772e+03	5.221114e-01	1.654696e+02
1.713290e+03	5.221114e-01	1.654618e+02
1.713808e+03	5.221114e-01	1.654540e+02
1.714326e+03	5.221114e-01	1.654462e+02
1.714845e+03	5.221114e-01	1.654384e+02
1.715363e+03	5.221114e-01	1.654306e+02
1.715881e+03	5.221114e-01	1.654228e+02
1.716399e+03	5.221114e-01	1.654151e+02
1.716917e+03	5.221114e-01	1.654073e+02
1.717435e+03	5.221114e-01	1.653996e+02
1.717953e+03	5.221114e-01	1.653918e+02
1.718472e+03	5.221114e-01	1.653841e+02
1.718990e+03	5.221114e-01	1.653763e+02
1.719508e+03	5.221114e-01	1.653686e+02
1.720026e+03	5.221114e-01	1.653609e+02
1.720544e+03	5.221114e-01	1.653532e+02
1.721062e+03	5.221114e-01	1.653454e+02
1.721580e+03	5.221114e-01	1.653377e+02
1.722098e+03	5.221114e-01	1.653300e+02
1.722617e+03	5.221114e-01	1.653224e+02
1.723135e+03	5.221114e-01	1.653147e+02
1.723653e+03	5.221114e-01	1.653070e+02
1.724171e+03	5.221114e-01	1.652993e+02
1.724689e+03	5.221114e-01	1.652917e+02
1.725207e+03	5.221114e-01	1.652840e+02
1.725725e+03	5.221114e-01	1.652764e+02
1.726244e+03	5.221114e-01	1.652687e+02
1.726762e+03	5.221114e-01	1.652611e+02
1.727280e+03	5.221114e-01	1.652535e+02
1.727798e+03	5.221114e-01	1.652458e+02
1.728316e+03	5.221114e-01	1.652382e+02
